"arrival_date_year","arrival_date_month","hotel","country","tourist_type","completed_bookings","canceled_bookings"
2015,"August","Resort Hotel","CHN","Couple",2,0
2015,"August","Resort Hotel","DEU","Couple",2,0
2015,"August","Resort Hotel","DNK","Couple",1,0
2015,"August","Resort Hotel","ESP","Couple",138,0
2015,"August","Resort Hotel","ESP","Family",13,0
2015,"August","Resort Hotel","ESP","Others",10,0
2015,"August","Resort Hotel","FRA","Couple",32,0
2015,"August","Resort Hotel","FRA","Family",4,0
2015,"August","Resort Hotel","FRA","Others",4,0
2015,"August","Resort Hotel","FRA","Single",1,0
2015,"August","Resort Hotel","GBR","Couple",76,0
2015,"August","Resort Hotel","GBR","Family",10,0
2015,"August","Resort Hotel","GBR","Others",6,0
2015,"August","Resort Hotel","GBR","Single",6,0
2015,"August","Resort Hotel","IND","Family",1,0
2015,"August","Resort Hotel","IRL","Couple",58,0
2015,"August","Resort Hotel","IRL","Family",6,0
2015,"August","Resort Hotel","IRL","Others",3,0
2015,"August","Resort Hotel","IRL","Single",1,0
2015,"August","Resort Hotel","ITA","Couple",8,0
2015,"August","Resort Hotel","ITA","Others",1,0
2015,"August","Resort Hotel","KAZ","Couple",1,0
2015,"August","Resort Hotel","LUX","Couple",2,0
2015,"August","Resort Hotel","LUX","Others",1,0
2015,"August","Resort Hotel","MAR","Couple",2,0
2015,"August","Resort Hotel","MAR","Family",1,0
2015,"August","Resort Hotel","MEX","Couple",1,0
2015,"August","Resort Hotel","NLD","Couple",10,0
2015,"August","Resort Hotel","NLD","Others",2,0
2015,"August","Resort Hotel","NOR","Couple",2,0
2015,"August","Resort Hotel","NOR","Family",2,0
2015,"August","Resort Hotel","NULL","Couple",8,0
2015,"August","Resort Hotel","NULL","Family",1,0
2015,"August","Resort Hotel","NULL","Others",2,0
2015,"August","Resort Hotel","NULL","Single",1,0
2015,"August","Resort Hotel","NZL","Others",1,0
2015,"August","Resort Hotel","POL","Couple",6,0
2015,"August","Resort Hotel","PRT","Couple",336,276
2015,"August","Resort Hotel","PRT","Family",113,60
2015,"August","Resort Hotel","PRT","Others",34,13
2015,"August","Resort Hotel","PRT","Single",30,17
2015,"August","Resort Hotel","ROU","Couple",10,0
2015,"August","Resort Hotel","ROU","Family",2,0
2015,"August","Resort Hotel","RUS","Couple",8,0
2015,"August","Resort Hotel","RUS","Family",1,0
2015,"August","Resort Hotel","RUS","Others",1,0
2015,"August","Resort Hotel","RUS","Single",1,0
2015,"August","Resort Hotel","SVN","Couple",1,0
2015,"August","Resort Hotel","SVN","Family",2,0
2015,"August","Resort Hotel","SWE","Couple",2,0
2015,"August","Resort Hotel","USA","Couple",12,0
2015,"August","Resort Hotel","USA","Family",3,0
2015,"August","Resort Hotel","USA","Others",1,0
2015,"August","Resort Hotel","USA","Single",2,0
2015,"December","City Hotel","AGO","Couple",0,1
2015,"December","City Hotel","AGO","Single",3,2
2015,"December","City Hotel","ALB","Couple",1,0
2015,"December","City Hotel","ARG","Couple",1,0
2015,"December","City Hotel","AUT","Couple",12,0
2015,"December","City Hotel","AUT","Others",1,0
2015,"December","City Hotel","AUT","Single",6,0
2015,"December","City Hotel","BEL","Couple",19,1
2015,"December","City Hotel","BEL","Family",1,1
2015,"December","City Hotel","BEL","Single",2,0
2015,"December","City Hotel","BLR","Couple",1,0
2015,"December","City Hotel","BRA","Couple",9,3
2015,"December","City Hotel","BRA","Family",1,2
2015,"December","City Hotel","BRA","Others",2,0
2015,"December","City Hotel","BRA","Single",3,0
2015,"December","City Hotel","CN","Couple",5,0
2015,"December","City Hotel","CRI","Couple",2,0
2015,"December","City Hotel","CHE","Couple",12,0
2015,"December","City Hotel","CHE","Family",2,0
2015,"December","City Hotel","CHN","Couple",7,0
2015,"December","City Hotel","DEU","Couple",23,0
2015,"December","City Hotel","DEU","Family",2,0
2015,"December","City Hotel","DEU","Others",1,0
2015,"December","City Hotel","DEU","Single",3,0
2015,"December","City Hotel","DZA","Couple",1,0
2015,"December","City Hotel","ECU","Couple",1,0
2015,"December","City Hotel","EGY","Couple",1,0
2015,"December","City Hotel","ESP","Couple",146,26
2015,"December","City Hotel","ESP","Family",24,1
2015,"December","City Hotel","ESP","Others",5,1
2015,"December","City Hotel","ESP","Single",24,4
2015,"December","City Hotel","ETH","Others",1,0
2015,"December","City Hotel","FIN","Couple",2,0
2015,"December","City Hotel","FRA","Couple",138,8
2015,"December","City Hotel","FRA","Family",4,0
2015,"December","City Hotel","FRA","Others",7,0
2015,"December","City Hotel","FRA","Single",15,0
2015,"December","City Hotel","GBR","Couple",16,0
2015,"December","City Hotel","GBR","Family",2,0
2015,"December","City Hotel","GBR","Others",2,0
2015,"December","City Hotel","GBR","Single",5,0
2015,"December","City Hotel","GRC","Single",1,0
2015,"December","City Hotel","IRL","Couple",3,0
2015,"December","City Hotel","IRL","Single",1,0
2015,"December","City Hotel","IRQ","Couple",1,0
2015,"December","City Hotel","ITA","Couple",34,4
2015,"December","City Hotel","ITA","Family",4,0
2015,"December","City Hotel","ITA","Others",2,0
2015,"December","City Hotel","ITA","Single",5,0
2015,"December","City Hotel","JPN","Couple",5,0
2015,"December","City Hotel","JPN","Family",1,0
2015,"December","City Hotel","KOR","Single",1,0
2015,"December","City Hotel","LUX","Couple",2,0
2015,"December","City Hotel","LUX","Family",1,0
2015,"December","City Hotel","MAR","Couple",1,0
2015,"December","City Hotel","MEX","Couple",3,0
2015,"December","City Hotel","MUS","Single",2,0
2015,"December","City Hotel","NLD","Couple",6,0
2015,"December","City Hotel","NLD","Single",1,0
2015,"December","City Hotel","PHL","Couple",1,0
2015,"December","City Hotel","POL","Couple",3,0
2015,"December","City Hotel","POL","Family",1,0
2015,"December","City Hotel","POL","Others",1,0
2015,"December","City Hotel","PRT","Couple",169,383
2015,"December","City Hotel","PRT","Family",17,23
2015,"December","City Hotel","PRT","Others",7,9
2015,"December","City Hotel","PRT","Single",89,195
2015,"December","City Hotel","ROU","Couple",3,0
2015,"December","City Hotel","RUS","Couple",4,0
2015,"December","City Hotel","SGP","Couple",2,0
2015,"December","City Hotel","SGP","Others",1,0
2015,"December","City Hotel","SRB","Couple",1,0
2015,"December","City Hotel","SWE","Couple",2,0
2015,"December","City Hotel","THA","Couple",1,0
2015,"December","City Hotel","TMP","Others",1,0
2015,"December","City Hotel","TUN","Couple",1,0
2015,"December","City Hotel","TUR","Couple",1,0
2015,"December","City Hotel","TWN","Couple",1,0
2015,"December","City Hotel","UKR","Couple",3,0
2015,"December","City Hotel","UKR","Single",1,0
2015,"December","City Hotel","USA","Couple",5,0
2015,"December","City Hotel","USA","Family",3,0
2015,"December","City Hotel","USA","Others",2,0
2015,"December","City Hotel","USA","Single",2,0
2015,"December","Resort Hotel","AUS","Couple",2,0
2015,"December","Resort Hotel","AUT","Single",1,0
2015,"December","Resort Hotel","BEL","Couple",6,0
2015,"December","Resort Hotel","BEL","Single",1,0
2015,"December","Resort Hotel","BRA","Couple",7,0
2015,"December","Resort Hotel","CN","Single",1,0
2015,"December","Resort Hotel","CRI","Couple",2,0
2015,"December","Resort Hotel","CZE","Couple",1,0
2015,"December","Resort Hotel","CHE","Couple",6,0
2015,"December","Resort Hotel","CHN","Couple",3,0
2015,"December","Resort Hotel","CHN","Family",1,0
2015,"December","Resort Hotel","DEU","Couple",11,0
2015,"December","Resort Hotel","DEU","Family",1,0
2015,"December","Resort Hotel","DEU","Single",12,0
2015,"December","Resort Hotel","DZA","Couple",1,0
2015,"December","Resort Hotel","ESP","Couple",152,0
2015,"December","Resort Hotel","ESP","Family",21,0
2015,"December","Resort Hotel","ESP","Others",9,0
2015,"December","Resort Hotel","ESP","Single",13,0
2015,"December","Resort Hotel","FIN","Couple",2,0
2015,"December","Resort Hotel","FIN","Single",1,0
2015,"December","Resort Hotel","FRA","Couple",20,0
2015,"December","Resort Hotel","FRA","Family",3,0
2015,"December","Resort Hotel","FRA","Single",4,0
2015,"December","Resort Hotel","GBR","Couple",80,0
2015,"December","Resort Hotel","GBR","Family",3,0
2015,"December","Resort Hotel","GBR","Others",1,0
2015,"December","Resort Hotel","GBR","Single",10,0
2015,"December","Resort Hotel","IND","Couple",1,0
2015,"December","Resort Hotel","IRL","Couple",28,0
2015,"December","Resort Hotel","IRL","Single",4,0
2015,"December","Resort Hotel","ITA","Couple",11,0
2015,"December","Resort Hotel","ITA","Single",1,0
2015,"December","Resort Hotel","JPN","Couple",2,0
2015,"December","Resort Hotel","KOR","Couple",1,0
2015,"December","Resort Hotel","LKA","Couple",1,0
2015,"December","Resort Hotel","LTU","Couple",3,0
2015,"December","Resort Hotel","MAR","Couple",1,0
2015,"December","Resort Hotel","MAR","Family",1,0
2015,"December","Resort Hotel","NGA","Others",1,0
2015,"December","Resort Hotel","NLD","Couple",8,0
2015,"December","Resort Hotel","NLD","Single",1,0
2015,"December","Resort Hotel","NULL","Couple",6,0
2015,"December","Resort Hotel","NULL","Single",14,0
2015,"December","Resort Hotel","POL","Couple",3,0
2015,"December","Resort Hotel","POL","Family",2,0
2015,"December","Resort Hotel","PRT","Couple",256,251
2015,"December","Resort Hotel","PRT","Family",38,16
2015,"December","Resort Hotel","PRT","Others",8,3
2015,"December","Resort Hotel","PRT","Single",142,31
2015,"December","Resort Hotel","RUS","Couple",2,0
2015,"December","Resort Hotel","RUS","Single",1,0
2015,"December","Resort Hotel","SWE","Couple",2,0
2015,"December","Resort Hotel","SWE","Single",1,0
2015,"December","Resort Hotel","TUR","Couple",1,0
2015,"December","Resort Hotel","USA","Couple",5,0
2015,"December","Resort Hotel","ZAF","Couple",1,0
2015,"July","City Hotel","BRA","Couple",8,0
2015,"July","City Hotel","BRA","Single",1,0
2015,"July","City Hotel","DEU","Couple",4,0
2015,"July","City Hotel","DEU","Others",1,0
2015,"July","City Hotel","DEU","Single",1,0
2015,"July","City Hotel","ESP","Couple",11,0
2015,"July","City Hotel","ESP","Others",2,0
2015,"July","City Hotel","ESP","Single",3,0
2015,"July","City Hotel","FRA","Couple",2,0
2015,"July","City Hotel","GBR","Family",1,0
2015,"July","City Hotel","GBR","Single",2,0
2015,"July","City Hotel","ITA","Couple",6,49
2015,"July","City Hotel","ITA","Single",1,0
2015,"July","City Hotel","NLD","Couple",1,0
2015,"July","City Hotel","PRT","Couple",278,820
2015,"July","City Hotel","PRT","Family",6,4
2015,"July","City Hotel","PRT","Others",22,9
2015,"July","City Hotel","PRT","Single",69,53
2015,"July","City Hotel","ROU","Family",1,0
2015,"July","City Hotel","SWE","Couple",1,0
2015,"July","Resort Hotel","ALB","Couple",1,0
2015,"July","Resort Hotel","ARG","Couple",1,0
2015,"July","Resort Hotel","ARG","Others",1,0
2015,"July","Resort Hotel","AUS","Couple",2,0
2015,"July","Resort Hotel","AUT","Couple",1,0
2015,"July","Resort Hotel","AUT","Family",1,0
2015,"July","Resort Hotel","AUT","Others",1,0
2015,"July","Resort Hotel","BEL","Couple",6,0
2015,"July","Resort Hotel","BEL","Family",2,0
2015,"July","Resort Hotel","BRA","Couple",10,0
2015,"July","Resort Hotel","BRA","Family",5,0
2015,"July","Resort Hotel","BWA","Family",1,0
2015,"July","Resort Hotel","CN","Couple",12,0
2015,"July","Resort Hotel","CN","Family",4,0
2015,"July","Resort Hotel","CN","Others",2,0
2015,"July","Resort Hotel","CN","Single",1,0
2015,"July","Resort Hotel","CZE","Couple",1,0
2015,"July","Resort Hotel","CHE","Couple",10,0
2015,"July","Resort Hotel","CHE","Family",6,0
2015,"July","Resort Hotel","CHE","Others",1,0
2015,"July","Resort Hotel","CHN","Couple",4,0
2015,"July","Resort Hotel","CHN","Family",1,0
2015,"July","Resort Hotel","DEU","Couple",7,0
2015,"July","Resort Hotel","DEU","Family",1,0
2015,"July","Resort Hotel","DEU","Others",2,0
2015,"July","Resort Hotel","DEU","Single",2,0
2015,"July","Resort Hotel","DNK","Couple",4,0
2015,"July","Resort Hotel","DNK","Others",1,0
2015,"July","Resort Hotel","ESP","Couple",145,0
2015,"July","Resort Hotel","ESP","Family",17,0
2015,"July","Resort Hotel","ESP","Others",5,0
2015,"July","Resort Hotel","ESP","Single",1,0
2015,"July","Resort Hotel","EST","Family",1,0
2015,"July","Resort Hotel","FIN","Couple",5,0
2015,"July","Resort Hotel","FIN","Family",1,0
2015,"July","Resort Hotel","FRA","Couple",14,0
2015,"July","Resort Hotel","FRA","Family",2,0
2015,"July","Resort Hotel","FRA","Others",1,0
2015,"July","Resort Hotel","FRA","Single",1,0
2015,"July","Resort Hotel","GBR","Couple",114,0
2015,"July","Resort Hotel","GBR","Family",11,0
2015,"July","Resort Hotel","GBR","Others",6,0
2015,"July","Resort Hotel","GBR","Single",10,0
2015,"July","Resort Hotel","GRC","Couple",1,0
2015,"July","Resort Hotel","HRV","Couple",1,0
2015,"July","Resort Hotel","HUN","Couple",1,0
2015,"July","Resort Hotel","IDN","Family",1,0
2015,"July","Resort Hotel","IRL","Couple",59,0
2015,"July","Resort Hotel","IRL","Family",4,0
2015,"July","Resort Hotel","IRL","Others",3,0
2015,"July","Resort Hotel","IRL","Single",4,0
2015,"July","Resort Hotel","ISR","Couple",3,0
2015,"July","Resort Hotel","ITA","Couple",6,0
2015,"July","Resort Hotel","ITA","Family",1,0
2015,"July","Resort Hotel","ITA","Single",1,0
2015,"July","Resort Hotel","LUX","Couple",1,0
2015,"July","Resort Hotel","LUX","Family",1,0
2015,"July","Resort Hotel","LUX","Others",1,0
2015,"July","Resort Hotel","MAR","Couple",1,0
2015,"July","Resort Hotel","MOZ","Couple",1,0
2015,"July","Resort Hotel","MOZ","Family",1,0
2015,"July","Resort Hotel","NLD","Couple",10,0
2015,"July","Resort Hotel","NLD","Family",2,0
2015,"July","Resort Hotel","NLD","Single",1,0
2015,"July","Resort Hotel","NOR","Couple",7,0
2015,"July","Resort Hotel","NOR","Family",1,0
2015,"July","Resort Hotel","NOR","Others",1,0
2015,"July","Resort Hotel","NULL","Couple",6,0
2015,"July","Resort Hotel","NULL","Others",1,0
2015,"July","Resort Hotel","NULL","Single",6,0
2015,"July","Resort Hotel","NZL","Couple",1,0
2015,"July","Resort Hotel","OMN","Couple",1,0
2015,"July","Resort Hotel","POL","Couple",7,0
2015,"July","Resort Hotel","PRT","Couple",307,254
2015,"July","Resort Hotel","PRT","Family",70,38
2015,"July","Resort Hotel","PRT","Others",29,11
2015,"July","Resort Hotel","PRT","Single",32,16
2015,"July","Resort Hotel","ROU","Couple",7,0
2015,"July","Resort Hotel","ROU","Family",2,0
2015,"July","Resort Hotel","ROU","Others",1,0
2015,"July","Resort Hotel","RUS","Couple",3,0
2015,"July","Resort Hotel","RUS","Others",1,0
2015,"July","Resort Hotel","RUS","Single",2,0
2015,"July","Resort Hotel","SVN","Couple",1,0
2015,"July","Resort Hotel","SWE","Couple",5,0
2015,"July","Resort Hotel","SWE","Family",2,0
2015,"July","Resort Hotel","USA","Couple",9,0
2015,"July","Resort Hotel","USA","Family",5,0
2015,"July","Resort Hotel","USA","Others",2,0
2015,"July","Resort Hotel","USA","Single",1,0
2015,"November","City Hotel","AGO","Couple",1,0
2015,"November","City Hotel","AGO","Single",3,1
2015,"November","City Hotel","ARG","Single",1,0
2015,"November","City Hotel","AUS","Family",1,0
2015,"November","City Hotel","AUS","Single",1,0
2015,"November","City Hotel","AUT","Couple",3,0
2015,"November","City Hotel","AUT","Single",13,0
2015,"November","City Hotel","BEL","Couple",14,0
2015,"November","City Hotel","BEL","Family",2,0
2015,"November","City Hotel","BEL","Others",1,0
2015,"November","City Hotel","BEL","Single",1,0
2015,"November","City Hotel","BGR","Single",1,0
2015,"November","City Hotel","BLR","Single",2,0
2015,"November","City Hotel","BRA","Couple",8,0
2015,"November","City Hotel","CN","Couple",1,0
2015,"November","City Hotel","COL","Single",1,0
2015,"November","City Hotel","CRI","Couple",1,0
2015,"November","City Hotel","CZE","Couple",1,0
2015,"November","City Hotel","CZE","Single",2,0
2015,"November","City Hotel","CHE","Couple",6,0
2015,"November","City Hotel","CHE","Single",2,0
2015,"November","City Hotel","CHL","Couple",1,0
2015,"November","City Hotel","CHL","Others",1,0
2015,"November","City Hotel","CHL","Single",1,0
2015,"November","City Hotel","CHN","Couple",2,0
2015,"November","City Hotel","CHN","Single",1,0
2015,"November","City Hotel","DEU","Couple",34,0
2015,"November","City Hotel","DEU","Family",1,0
2015,"November","City Hotel","DEU","Others",1,0
2015,"November","City Hotel","DEU","Single",17,0
2015,"November","City Hotel","DNK","Single",2,0
2015,"November","City Hotel","DZA","Single",3,0
2015,"November","City Hotel","EGY","Single",3,0
2015,"November","City Hotel","ESP","Couple",32,0
2015,"November","City Hotel","ESP","Family",1,0
2015,"November","City Hotel","ESP","Single",20,0
2015,"November","City Hotel","FIN","Couple",2,0
2015,"November","City Hotel","FIN","Single",1,0
2015,"November","City Hotel","FRA","Couple",137,1
2015,"November","City Hotel","FRA","Family",1,0
2015,"November","City Hotel","FRA","Others",1,0
2015,"November","City Hotel","FRA","Single",44,1
2015,"November","City Hotel","GBR","Couple",25,0
2015,"November","City Hotel","GBR","Others",2,0
2015,"November","City Hotel","GBR","Single",6,0
2015,"November","City Hotel","GEO","Single",1,0
2015,"November","City Hotel","GRC","Couple",1,0
2015,"November","City Hotel","GRC","Single",2,0
2015,"November","City Hotel","HRV","Couple",1,0
2015,"November","City Hotel","HRV","Single",1,0
2015,"November","City Hotel","HUN","Couple",2,0
2015,"November","City Hotel","HUN","Single",2,0
2015,"November","City Hotel","IDN","Couple",1,0
2015,"November","City Hotel","IND","Couple",2,0
2015,"November","City Hotel","IND","Single",8,0
2015,"November","City Hotel","IRL","Couple",2,0
2015,"November","City Hotel","IRL","Single",3,0
2015,"November","City Hotel","IRN","Single",2,0
2015,"November","City Hotel","IRQ","Couple",2,0
2015,"November","City Hotel","ISR","Couple",3,0
2015,"November","City Hotel","ISR","Single",4,0
2015,"November","City Hotel","ITA","Couple",7,0
2015,"November","City Hotel","ITA","Family",4,0
2015,"November","City Hotel","ITA","Single",8,0
2015,"November","City Hotel","JOR","Couple",3,0
2015,"November","City Hotel","JOR","Single",3,0
2015,"November","City Hotel","JPN","Couple",3,0
2015,"November","City Hotel","KNA","Single",1,0
2015,"November","City Hotel","KOR","Couple",2,0
2015,"November","City Hotel","KOR","Single",2,0
2015,"November","City Hotel","KWT","Couple",1,0
2015,"November","City Hotel","LBN","Couple",1,0
2015,"November","City Hotel","LBN","Single",1,0
2015,"November","City Hotel","LKA","Couple",1,0
2015,"November","City Hotel","LUX","Couple",1,0
2015,"November","City Hotel","MAR","Couple",3,0
2015,"November","City Hotel","MEX","Couple",1,0
2015,"November","City Hotel","MEX","Single",2,0
2015,"November","City Hotel","MYS","Couple",1,0
2015,"November","City Hotel","MYS","Single",1,0
2015,"November","City Hotel","NLD","Couple",11,0
2015,"November","City Hotel","NLD","Single",4,0
2015,"November","City Hotel","NOR","Single",2,0
2015,"November","City Hotel","NULL","Single",1,0
2015,"November","City Hotel","NZL","Single",2,0
2015,"November","City Hotel","PAN","Couple",1,0
2015,"November","City Hotel","PER","Single",2,0
2015,"November","City Hotel","POL","Couple",4,0
2015,"November","City Hotel","POL","Single",3,0
2015,"November","City Hotel","PRT","Couple",130,165
2015,"November","City Hotel","PRT","Family",9,5
2015,"November","City Hotel","PRT","Others",1,0
2015,"November","City Hotel","PRT","Single",208,124
2015,"November","City Hotel","ROU","Couple",1,0
2015,"November","City Hotel","ROU","Single",2,0
2015,"November","City Hotel","RUS","Couple",1,0
2015,"November","City Hotel","SAU","Single",1,0
2015,"November","City Hotel","SEN","Couple",1,0
2015,"November","City Hotel","SGP","Couple",1,0
2015,"November","City Hotel","SVK","Couple",1,0
2015,"November","City Hotel","SVK","Single",1,0
2015,"November","City Hotel","SVN","Single",1,0
2015,"November","City Hotel","SWE","Single",5,0
2015,"November","City Hotel","THA","Single",1,0
2015,"November","City Hotel","TUN","Single",1,0
2015,"November","City Hotel","TUR","Couple",5,0
2015,"November","City Hotel","TUR","Single",2,0
2015,"November","City Hotel","TWN","Single",1,0
2015,"November","City Hotel","USA","Couple",6,0
2015,"November","City Hotel","USA","Family",1,0
2015,"November","City Hotel","USA","Single",4,0
2015,"November","City Hotel","ZAF","Single",1,0
2015,"November","Resort Hotel","ARM","Couple",1,0
2015,"November","Resort Hotel","AUS","Couple",1,0
2015,"November","Resort Hotel","AUS","Single",1,0
2015,"November","Resort Hotel","AUT","Couple",7,0
2015,"November","Resort Hotel","AUT","Single",22,0
2015,"November","Resort Hotel","BEL","Couple",5,0
2015,"November","Resort Hotel","BEL","Family",1,0
2015,"November","Resort Hotel","BEL","Single",4,0
2015,"November","Resort Hotel","BLR","Couple",1,0
2015,"November","Resort Hotel","BRA","Couple",6,0
2015,"November","Resort Hotel","BRA","Single",2,0
2015,"November","Resort Hotel","CN","Couple",2,0
2015,"November","Resort Hotel","CZE","Couple",3,0
2015,"November","Resort Hotel","CZE","Single",2,0
2015,"November","Resort Hotel","CHE","Couple",6,0
2015,"November","Resort Hotel","CHE","Single",1,0
2015,"November","Resort Hotel","CHL","Couple",1,0
2015,"November","Resort Hotel","DEU","Couple",11,0
2015,"November","Resort Hotel","DEU","Single",10,0
2015,"November","Resort Hotel","DZA","Single",2,0
2015,"November","Resort Hotel","ESP","Couple",104,0
2015,"November","Resort Hotel","ESP","Family",4,0
2015,"November","Resort Hotel","ESP","Others",4,0
2015,"November","Resort Hotel","ESP","Single",25,0
2015,"November","Resort Hotel","FIN","Couple",6,0
2015,"November","Resort Hotel","FRA","Couple",23,0
2015,"November","Resort Hotel","FRA","Family",1,0
2015,"November","Resort Hotel","FRA","Single",17,0
2015,"November","Resort Hotel","GBR","Couple",62,0
2015,"November","Resort Hotel","GBR","Family",2,0
2015,"November","Resort Hotel","GBR","Others",4,0
2015,"November","Resort Hotel","GBR","Single",27,0
2015,"November","Resort Hotel","GIB","Couple",4,0
2015,"November","Resort Hotel","GRC","Couple",1,0
2015,"November","Resort Hotel","HUN","Couple",2,0
2015,"November","Resort Hotel","IRL","Couple",15,0
2015,"November","Resort Hotel","ITA","Couple",7,2
2015,"November","Resort Hotel","ITA","Single",3,1
2015,"November","Resort Hotel","LTU","Couple",1,0
2015,"November","Resort Hotel","LTU","Single",1,0
2015,"November","Resort Hotel","LUX","Couple",1,0
2015,"November","Resort Hotel","MEX","Couple",1,0
2015,"November","Resort Hotel","NGA","Couple",1,0
2015,"November","Resort Hotel","NLD","Couple",10,0
2015,"November","Resort Hotel","NLD","Others",1,0
2015,"November","Resort Hotel","NLD","Single",9,0
2015,"November","Resort Hotel","NOR","Couple",1,0
2015,"November","Resort Hotel","NOR","Single",1,0
2015,"November","Resort Hotel","NULL","Couple",2,0
2015,"November","Resort Hotel","NULL","Single",17,0
2015,"November","Resort Hotel","POL","Couple",5,0
2015,"November","Resort Hotel","POL","Family",3,0
2015,"November","Resort Hotel","POL","Others",2,0
2015,"November","Resort Hotel","PRT","Couple",186,96
2015,"November","Resort Hotel","PRT","Family",25,8
2015,"November","Resort Hotel","PRT","Others",4,0
2015,"November","Resort Hotel","PRT","Single",199,77
2015,"November","Resort Hotel","RUS","Couple",5,0
2015,"November","Resort Hotel","RUS","Family",1,0
2015,"November","Resort Hotel","RUS","Single",1,0
2015,"November","Resort Hotel","SWE","Couple",2,0
